,Rating
10,"Throughout the entirety of Paris, Texas's two-and-a-half-hour running time (and not one minute of it wasted), it's nearly impossible to take your eyes off Harry Dean Stanton. When he first appears, he's animalistic, not talking, motivated only by his strange, unreadable desires. Later on he starts talking and starts having more conventional desires, but there's always that wild, uncertain edge to his performance, so that there's always a step remove between us and him. His Travis is a dangerous character, as much for the audience as the other characters. He's entranced by spectacle -- the vast emptiness of the Texas horizon, the story of his own conception, the falsity of a peep show, the million artificial lights of Los Angeles, and the obsession that gives the film its name, the story of his conception in a fake Paris. He tries, but is ultimately unable to deal with the reality of his actions, and in the end is reduced to passively watching a spectacle again, seeing his son end ex-wife embrace from a distance.Travis's brother Walt seems to be the opposition to his wild ways, someone the audience can relate to in their attempts to deal with the strangeness of Travis. But Walt also lives in a world trapped by images: he creates billboards, simulacra if there ever were any, and creates a model family that is ultimately an untenable attempt at playing house (his wife is notably French, tying in his obsessions to Travis's). We are presented with two quintessential American images: the warm suburban nuclear family and the rugged loner prowling the frontier, but both are illusions and both bring only suffering.All of this is to say nothing of the technical excellence of Paris, Texas: the gorgeous cinematography, the note-perfect acting from not just Stanton but the rest of the cast as well, those two heartbreaking long scenes near the end... but all of this is also spectacle, and at the same time the film is drawing us in with its execution it's warning us of the dangers of the seductive image. My favourite films are, for the most part, films that are at least in part about the act of watching. Paris, Texas falls into these two overlapping categories neatly."
11,"We all know why this movie is great, but I have a problem with it, the last hour. It's all done, written and acted very well, but it's just too darn long. So long that about half way through I was no longer caught up in the drama but was just waiting for it to end. And what makes this even worse is that up until this point the movie had such a great flow and then it comes to a dead stop and drags for a very long time. It doesn't help that the shots go on for a very long time before cutting and that there's no music.The director and writer knew that the scene was going to feel like this and did it anyway. Many things could have been done to assuage this but they didn't do that. I get the temptation to show off the writing and the acting, but for me it ended up working against the movie and not for it. And a director could have done many things to get the same effect in much less time.Again, nothing bad, just too long at the end. Even the ambiguous ending was good. At first I didn't like it but then the more I thought about it the more I guessed what could likely happen.."
12,"I agree with many of the comments here about the photography and scenery of this movie. It can be breathtaking. Wim Winders camera-work with the Texas landscape and characters within the landscape is second to none. I was ecstatic when I saw Ry Cooder had done the music for Paris, Texas.However, I just couldn't get through the unrealistic plot and character situations of this movie. A guy has been missing for four years and his brother just takes him home and sets up a bed for him like he's been gone just a few hours or something. Doctor? Hospital? The doctor in the desert doesn't count. He then just takes his kid who was abandoned by him and his wife and takes him on a road trip to find his mother without telling the people who were decent enough to take care of the kid. He then finds out that the mother of his child is working as a stripper and decides to leave him with her. Kinski's character knew where her son was all these years but never contacted him- I don't see that as someone who loves her son that much. Overall, great camera-work, scenery, soundtrack, and acting but the plot twists in this movie just were too unbelievable."
13,"I felt so tired of all those comments saying how beautiful the photography is or, for those who havent enjoyed the film, how the photography isnt enough to sustain the whole silentness of the first 2/3 of the movie.It just sounds like a hollow praise for a hollow minded cute, blonde and gorgeous girl. In fact, it is an offense.For a director that first was inspired by images and then looked for stories to fill them and give them reasons to be released as films (he says this in a book). Wenders achieves his high technical and vision point concerning his way of thinking, not just film but life in this masterpiece.He had before discussed the production of images and how this affects our way of seeing and perceiving life. But in Paris, Texas the image, the landscapes really becomes a character, not just to give a good photography and make those 2 1/2 hours that the movie lasts oh!!, so beatiful to watch!!, or to make us get in its atmosphere... The landscapes are so important as the words, or actions, between the characters are, it really touches people surrounded by it, it influences some how their personalities. I mean, each photograme tries to bring this relation.It is beautiful how Wenders can build his caracters personalities, not by the way they think or act, but what impresses them, what visually interests them - like when Travis is watching not the airplane, but its shadow on the ground while it takes off.After all that, i can just say that the rest of the whole story is made by really beautiful, touching and delicate situations of a man's life trying to reorder the lost pieces from a puzzle.And, yes, the conversation between Travis and his ex-wife by the last half hour to the end is one of the most touching moments seen on the screen."
14,"The first time that I saw this movie, it didn't really have an impact on me. I think that this was because I wasn't giving it my full attention. But the few times that I have seen it since it has made deep impressions on me that only a few films have done. Harry Dean Stanton's performance should be ranked among the great performances of all time in the movies. He doesn't have to say much in the first half of the film but the expressions on his face tell us he is in pain, almost like his soul has been ripped from his body. But we only find out later the reason for this.(Spoilers) Travis (Stanton) we find is suffering from guilt and the pain of losing the things in life that he loved the most. Most men that have loved will see part of themselves in Travis' stories of how jealousy drove him to not let his wife out of his sight, but we don't take it as far as Travis, drink drove his jealousy to new heights. Even though some of his stories would appall us, now we have seen how he destroyed his life, or the drink destroyed him, we now feel sorry for him. The two monologues with Jane are, in my opinion, two scenes that will stay with every viewer for a long time. Travis cannot even look at Jane because it would cause him too much pain and break him even further. But before he leaves Jane he needs to tell her why he did the things to her that he did, only then could Travis find some peace and maybe regain a part of the soul that he lost.Like John Wayne in ""The Searchers"" Travis realises at the end of the film that he has to go and leave alone, that he ruined his chance of a happy life with Hunter and Jane, or he realised that he could never be happy with her, for the intense love that he felt for Jane would always bring jealousy and suspicion would that would always be at the front of his mind.The music also deserve a mention. The southern, bluesy slide guitar by Ry Cooder is so simple but so effective in adding to the lazy pace of the movie."
15,"Melancholic and reflective film, great performance by Nastassja Kinski, memorable soundtrack, with photographically beautiful and iconic scenes.The character Travis appears to have complex layers and an emotionally dense story, of an extremely traumatized man, victim of some unknown event, so painful he can't even discuss it, who loves his wife very much, and is trying to reconnect with his son.What could have led a man to abandon absolutely everything, to wander aimlessly for years and years?As the story unfolds, it is discovered that the wife is extremely young, only 17 or 18 years old, while he is over fifty, which adds a layer of discomfort to the story and a big red flag that something is very wrong, but let's keep watching.After the impactful and emblematic scene of the conversation with Jane, through the glass, we see Travis's true nature: a real prick.It could have been a story of redemption, after all, humans are complex, and we all make mistakes, but it's not.He kidnaps his son from a safe place, where there is love, education, a secure life, makes him lie, manipulates and betrays everyone. And for what? Just to feel minimally redeemed, only to abandon them once again, because he is a great ignoble, coward.It's two hours of him only worrying about himself, although he is being supported by his brother, who would have every reason to reject him.Travis, you're toxic male, with childish attitude. You should have stayed lost in the desert forever."
16,"It has nice stark images and a cool sound track .But Reality Check: The boy is being taken from the two people who have shown they love him, who are his real parents even if not his biological parents, and handed to a someone who is a stranger and clearly has serious issues about relationships of any sort. Sure she sends a sum of money at regular intervals but given that she has made no attempt to contact him for for years it clearly is not about real love. People who like the film talk about how it deals with loss, alienation and an inability to communicate. Fine. But why is it supposed to be a good thing to dump the boy into that nightmare? Just to sacrifice him on the altar of DNA?"
17,"This film is likely not going to please everyone, but I firmly believe that everyone should at least give it a try. I had very low expectations going in and I was absolutely blown away by just how amazing it was.Everything about this movie is pretty much perfect, to me at least. The cinematography is breathtakingly beautiful, the acting is some of the best acting I've ever seen in a dramatic film, the writing is on point, just everything about this movie is done incredibly well.The film is very raw and gives off a very documentary-like style. The characters find themselves in dirty, grimy settings. The mood of the setting is never overdone. When Travis enters the first booth in order to try and talk to Jane, another woman appears. It's an unpredictable film. There are no perfect situations, much like life itself. This is why I feel that the film gives off a documentary-like feel.Harry Dean Stanton cements his position as one of the most brilliant character actors with this performance. He's a man who's been through a lot, a man who wants to make up for lost time. He's been drifting around the desert for 4 years, and he wants to find perspective of his life again.Nastassja Kinski gives an equally brilliant performance. There's a certain segment in this movie where it's just a long take on her face while she's listening to Travis's story through the glass, and I thought it was one of the most impressive takes I've ever seen in a movie. The way she is able to convey so much deep yet subtle emotion with just her face is amazing. She doesn't need to suddenly burst out in tears. She's restraining herself, and not a beat is missed during the whole scene.The last 25 minutes of the movie, which include the climactic conversation between Travis and Jane, were some of the best final scenes in any movie I've ever seen, period. I'd venture so far as to say that the conversation itself is one of the most emotional scenes in the history of cinema.The film won the Palme d'Or at Cannes, and it's one of the most deserved Palme d'Or wins of all time in my opinion. There were some truly great winners like Taxi Driver and The Tree of Life (controversial as that win may be), but Paris, Texas is one of the best.When Mark Kermode reviewed this movie, he said that the title of the film indicates a fusion between the European style of film and the American style of film. I thought about that comment, and it could not be more true. The director of this film (Wim Wenders) is German, and it appears that he used a lot of that dreamy European cinema influence in this film.The whole movie is virtually flawless. There are some people who will likely disagree with that, but it's a film that changed how I view the idea of cinema, and for that reason, it's in my top 5 films of all time."
18,"Harry Dean Stanton gives the performance of his life in this stunning and bleak journey into a mans soul and whats left when everything thats ever mattered is gone! yes it really is that desolate as stanton creates a feeling of utter  loneliness and reaches out to the audience with what can only be described as inner pain, as the film unfolds the story of how he came to be so alone and why he in fact wanted this isolation is told intelligently and sensitively, Natassa Kinski, is excellent in an understated role as stantons estranged lover, the  film  might  be  seen as a  downer  by  some  but  it  ends  in  hope  as stanton  faces  his demons, and the son that stanton had in his relationship with kinski is reunited with his mother, if this had been  made  in  the  usa  i  fear it would  have ended up  being a terribly corny affair, but wenders brilliant direction and the haunting soundtrack by rye cooder make it a must see for any leonard cohen devotee:)"
19,"I love Sam Shepard - have seen most of his plays and his films. He is one of the greatest writers of the 20th century. I love his acting as well - The Right Stuff was incredible. This film ""Paris Texas"" remains one of my all time favorites and his collaboration with Wim Wenders produced magic. Harry Dean Stanton moved from a character actor to a leading man with this. Just a masterpiece!"
20,"Wim Wenders's love for Americana propelled him to collaborate with famed playwright Sam Shepard and the result was the visually satisfying but inert drama, ""Paris, Texas."" The film's style (as noted in Wikipedia) include shots of ""old advertisement billboards, placards, graffiti, rusty iron carcasses, old railway lines, neon signs, and motels,"" to name a few. Many of Wenders's scenes here remind me of Edward Hopper paintings and despite the limitations of the film's narrative, it's well worth watching simply for the visual feast.The film's plot proceeds quite slowly. Walt Henderson is alerted that his brother, Travis, has been found dehydrated after walking in the South Texas desert. Walt drives from Los Angeles and picks Travis up, intending to return home to L.A., with his brother in tow. It's been four years since Travis disappeared and left his son Hunter to be raised by Walt and his wife, Anne. For quite a while, Travis is mute much to his brother's chagrin, who is desperate to find out where's he's been while missing. When Travis finally talks, all he can virtually talk about is a parcel of land he bought in Paris, Texas, where their parents allegedly met and conceived him.The second act—perhaps the most interesting part of the film—chronicles Travis's awkward attempts to bond with his son, Hunter, once he and Walt arrive back in L.A. Anne is upset that Walt is encouraging Travis to get close to Hunter, since she fears that he'll take the boy away. Actually, that's exactly what happens—Travis asks Hunter if he would like to come with him to find his ex-wife, Jane, who had left the family since she could not cope raising Hunter. Travis and Hunter head to Houston where they bond on the way there. It should be noted that Hunter Carson did a fantastic job of playing his fictional counterpart, a role that required a great deal of nuance and sensitivity.If the two ""bonding"" stories (one between the two brothers and the other between father and son) prove to be fairly interesting, the film's resolution, unfortunately does not. A.A. Dowd writing in the ""A.V. Club,"" cogently notes what's wrong with the narrative: ""There's just something weirdly banal and unsatisfying about the explanation Wenders and Shepard belatedly supply. What drove Travis to abandon his family and flee for the freedom of Mexico? I'm afraid it's nothing more complicated than a case of run-of-the-mill relationship troubles, revealed during a very long monologue that places Travis on one side of a two-way mirror and his ex, Jane (Nastassja Kinski)—now dancing at a seedy Houston strip club to make ends meet—on the other.""""Run-of-the-mill"" explanations also apply to the film's title—none of the characters actually end up going to Paris, Texas and the Travis's story of his origins in that particular town, is hardly the stuff of high drama.Travis finally figures out that he's not cut out to be a father and abandons Hunter and Jane to fend for themselves. Presumably, Jane, will do the right thing and return Hunter to Walt and Anne, where he'll end up having a normal childhood.As ""Paris, Texas"" is considered one of Wenders's best films, one might conclude that he is a master of style but has difficulty in the ""substance"" department. ""Paris, Texas"" is well worth watching for the visuals but prepare yourself for a promising story that ultimately runs out of gas."
21,"Yes, the cinematography is very nice. Yes, Ry Cooder's slide guitar is compelling. Yes, the plot is simple minded, predictable and the characters have little in the way of depth. I saw this snoozer when it was first released, and even though the date I was with was stunning, I hated her for liking this simplistic tripe. Does anyone want to know why a babe like Kinski was involved with a geezer like Stanton? Why is everyone so ""shocked"" she works at a booth in a phone sex place? It's not like ""requiem for a dream"" exactly and is quite low on the shocking scale. And its long and dull - Wim Wenders seems to have forgotten that a movie can be edited. How this movie is anything more than a dull rumination on life is beyond me. Saw it on cable a year or so ago - it's still pretty, still sounds good and is still visual sominex."
22,"Presumed dead having gone missing over four years ago, Travis arrives in a small desert town  thirsty and mute and passing out on the floor. A doctor identifies him and contacts Travis' brother, Walt, who makes the trip to collect his ""dead"" brother and bring him back home. Walt also brings bad news  he has been raising Travis' son (Hunter) as his own since he was dumped on his doorstep by Travis' wife Jane  who then just disappeared herself. Trying desperately to build a relationship with his son, Travis also decides to track down Jane and make his family whole again.Over the years this film seems to have grown in stature and reputation, partly because it is perhaps not as widely seen as it once was. For that reason I made sure I watched it when I got the chance recently and was struck immediately by one of the main reasons that I kept watching the film at times, that being the blend of beautiful visuals and haunting score. Normally films that have weak narrative will not suck me in but strong visual style (isn't that what the complaint about most summer blockbusters is?) however the striking look to the first parts of the film really drew me into it even when the plot did not. As everyone else in the world says, Ry Cooder's score was very well used and that's all I'll say on that issue since too many reviews seem to focus on this as if it were the most important part of the film.The plot is, lets be honest, very slowly delivered  painfully slow at times; but yet it managed to fill almost 2½ hours quite easily and surprised me by how it suddenly became an impressive film when, for large sections of it, I felt left out, disinterested and distracted. Of course many younger viewers may not make it that far because it is very slow at times and this will put many off before it gets better. It does build well and it is really with the scenes between Travis and Jane that the film is at its strongest; I'm sure others have different interpretations but I do like to think that Travis was dead and only returned to reunite his family  whether dead to them or really dead is another matter but the ending was nicely low key and lacking the sickly sentiment that could have killed it. The cast are a big reason this works because many of them do play really well. Stanton is great and he does tend to steal the film from those around him  whether mute or unseen behind mirrored glass. He is excellent in his scenes with Kinski, who more than holds her own in a smaller role. Stockwell is good in support and Carson turns in a likable performance that pretty much manages to avoid ""cute kid"" destruction.Overall this is not a perfect film and many viewers coming to it on the back of its reputation may struggle to stay with a plot that develops very slowly indeed without a great deal of explanation. The acting is good, the score is very well used while the direction and cinematography is close to mesmerising at times. The script does deliver but I was never totally into it until the final third; fortunately at this point things become much clearer and much more interesting and, despite taking an age to get anywhere, I was ultimately glad that I had watched it and had enjoyed the total film more than I had enjoyed individual moments of it."
23,"From the decade of blockbusters and popcorn movies, Paris, Texas (1984), winner of the Palme d'Or, is something else. Slow, long, depending on emotion, dialogue and characters, it gradually emerges as something worthwhile. Starting off in the Texan desert with a man picking up his brother, Travis, lost for four years and mute, the beginning to me seemed not so much intriguing as stiff, the performances a little unconvincing. Travis begins to talk and is reunited with his son, Hunter, who's now 7 and lives with his uncle Walt and aunt Anne. Hunter's mom, Jane, is still missing. Travis and Hunter get to know each other, with Anne concerned she and Walt will lose Hunter. Things are picking up as a family drama unfolds, and one gets the impression something extraordinary has happened.Surprisingly, Walt and Anne drop out of the picture with a lot of the film still to go, as Travis and Hunter return to Texas with a lead on where Jane is. Travis finds Jane in a sleazy place, where she ""talks"" with men. He tells their story, one of a happy marriage giving way to money woes, alcoholism, postpartum depression and abuse. Maybe it's not such an extraordinary story after all- but it's told in an extraordinary way. The look of Jane in that room with the two-way mirror is nearly surreal; that surreal side is reflected in the title. When you hear Paris, you don't think of Texas. But Paris, Texas is a real place, and there's realism in this film, too. This film gradually develops a sense of awe to it, and leaves its own distinct footprint."
24,"An unpredictable movie that opens with stunning cinematography and gives no hint as to where it's headed, ""Paris, Texas"" is the most unique movie I can remember. I think it's easier to describe feelings to someone rather than an actual plot; the need to reunite family at all cost, both with brothers and a man's household. I kept watching because the destination was truly a mystery, and it's one that just slams into you. No shocks, no violence, just an embrace. It's as hopeful as it is painful. It'd be an understatement to say that Harry Dean Stanton made this movie his own. And it's a clear reminder of the legend we've so recently lost. Here's to you, sir. 8/10"
